Common_Code,Diagnosis
A412,Sepsis due to unspecified staphylococcus
A413,Sepsis due to Hemophilus influenzae
A414,Sepsis due to anaerobes
A415,Sepsis due to other Gram-negative organisms
A418,Other specified sepsis
A419,"Sepsis, unspecified organism"
A42,Actinomycosis
A428,Other forms of actinomycosis
A429,"Actinomycosis, unspecified"
A43,Nocardiosis
A44,Bartonellosis
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A485,Other specified botulism
A488,Other specified bacterial diseases
A490,"Staphylococcal infection, unspecified site"
A491,"Streptococcal infection, unspecified site"
A492,"Hemophilus influenzae infection, unspecified site"
A493,"Mycoplasma infection, unspecified site"
A498,Other bacterial infections of unspecified site
A499,"Bacterial infection, unspecified"
A500,"Early congenital syphilis, symptomatic"
A501,"Early congenital syphilis, latent"
A502,"Early congenital syphilis, unspecified"
A503,Late congenital syphilitic oculopathy
A504,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,"Other late congenital syphilis, symptomatic"
A506,"Late congenital syphilis, latent"
A507,"Late congenital syphilis, unspecified"
A509,"Congenital syphilis, unspecified"
A51,Early syphilis
A513,Secondary syphilis of skin and mucous membranes
A514,Other secondary syphilis
A515,"Early syphilis, latent"
A519,"Early syphilis, unspecified"
A520,Cardiovascular and cerebrovascular syphilis
A521,Symptomatic neurosyphilis
A522,Asymptomatic neurosyphilis
A523,"Neurosyphilis, unspecified"
A527,Other symptomatic late syphilis
A528,"Late syphilis, latent"
A529,"Late syphilis, unspecified"
A53,Other and unspecified syphilis
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
A543,Gonococcal infection of eye
A544,Gonococcal infection of musculoskeletal system
A545,Gonococcal pharyngitis
A546,Gonococcal infection of anus and rectum
A548,Other gonococcal infections
A549,"Gonococcal infection, unspecified"
A55,Chlamydial lymphogranuloma (venereum)
A560,Chlamydial infection of lower genitourinary tract
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,"Chlamydial infection of genitourinary tract, unspecified"
A563,Chlamydial infection of anus and rectum
A564,Chlamydial infection of pharynx
A568,Sexually transmitted chlamydial infection of other sites
A57,Chancroid
A58,Granuloma inguinale
A590,Urogenital trichomoniasis
A598,Trichomoniasis of other sites
A599,"Trichomoniasis, unspecified"
A600,Herpesviral infection of genitalia and urogenital tract
A601,Herpesviral infection of perianal skin and rectum
A609,"Anogenital herpesviral infection, unspecified"
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,Unspecified sexually transmitted disease
A65,Nonvenereal syphilis
A66,Yaws
A67,Pinta [carate]
A68,Relapsing fevers
A69,Other spirochetal infections
A692,Lyme disease
A698,Other specified spirochetal infections
A699,"Spirochetal infection, unspecified"
A70,Chlamydia psittaci infections
A71,Trachoma
A74,Other diseases caused by chlamydiae
A748,Other chlamydial diseases
A749,"Chlamydial infection, unspecified"
A75,Typhus fever
A77,Spotted fever [tick-borne rickettsioses]
A774,Ehrlichiosis
A778,Other spotted fevers
A779,"Spotted fever, unspecified"
A78,Q fever
A79,Other rickettsioses
A798,Other specified rickettsioses
A799,"Rickettsiosis, unspecified"
A80,Acute poliomyelitis
A803,"Acute paralytic poliomyelitis, other and unspecified"
A804,Acute nonparalytic poliomyelitis
A809,"Acute poliomyelitis, unspecified"
A810,Creutzfeldt-Jakob disease
A811,Subacute sclerosing panencephalitis
A812,Progressive multifocal leukoencephalopathy
A818,Other atypical virus infections of central nervous system
A819,"Atypical virus infection of central nervous system, unspecified"
A82,Rabies
A83,Mosquito-borne viral encephalitis
A84,Tick-borne viral encephalitis
A85,"Other viral encephalitis, not elsewhere classified"
A86,Unspecified viral encephalitis
A87,Viral meningitis
A88,"Other viral infections of central nervous system, not elsewhere classified"
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A91,Dengue hemorrhagic fever
A92,Other mosquito-borne viral fevers
A923,West Nile virus infection
A924,Rift Valley fever
A925,Zika virus disease
A928,Other specified mosquito-borne viral fevers
A929,"Mosquito-borne viral fever, unspecified"
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A94,Unspecified arthropod-borne viral fever
A95,Yellow fever
A96,Arenaviral hemorrhagic fever
A98,"Other viral hemorrhagic fevers, not elsewhere classified"
A99,Unspecified viral hemorrhagic fever
B00,Herpesviral [herpes simplex] infections
B005,Herpesviral ocular disease
B007,Disseminated herpesviral disease
B008,Other forms of herpesviral infections
B009,"Herpesviral infection, unspecified"
B01,Varicella [chickenpox]
B011,"Varicella encephalitis, myelitis and encephalomyelitis"
B012,Varicella pneumonia
B018,Varicella with other complications
B019,Varicella without complication
B02,Zoster [herpes zoster]
B022,Zoster with other nervous system involvement
B023,Zoster ocular disease
B027,Disseminated zoster
B028,Zoster with other complications
B029,Zoster without complications
B03,Smallpox
B04,Monkeypox
B05,Measles
B058,Measles with other complications
B059,Measles without complication
B060,Rubella with neurological complications
B068,Rubella with other complications
B069,Rubella without complication
B07,Viral warts
B081,Molluscum contagiosum
B082,Exanthema subitum [sixth disease]
B083,Erythema infectiosum [fifth disease]
B084,Enteroviral vesicular stomatitis with exanthem
B085,Enteroviral vesicular pharyngitis
B086,Parapoxvirus infections
B087,Yatapoxvirus infections
B088,Other specified viral infections characterized by skin and mucous membrane lesions
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B100,Other human herpesvirus encephalitis
B108,Other human herpesvirus infection
B15,Acute hepatitis A
B16,Acute hepatitis B
B17,Other acute viral hepatitis
B171,Acute hepatitis C
B172,Acute hepatitis E
B178,Other specified acute viral hepatitis
B179,"Acute viral hepatitis, unspecified"
B18,Chronic viral hepatitis
B19,Unspecified viral hepatitis
B191,Unspecified viral hepatitis B
B192,Unspecified viral hepatitis C
B199,Unspecified viral hepatitis without hepatic coma
B20,Human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease
B26,Mumps
B268,Mumps with other complications
B269,Mumps without complication
B270,Gammaherpesviral mononucleosis
B271,Cytomegaloviral mononucleosis
B278,Other infectious mononucleosis
B279,"Infectious mononucleosis, unspecified"
B30,Viral conjunctivitis
B33,"Other viral diseases, not elsewhere classified"
B332,Viral carditis
B333,"Retrovirus infections, not elsewhere classified"
B334,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B338,Other specified viral diseases
B34,Viral infection of unspecified site
B35,Dermatophytosis
B36,Other superficial mycoses
B37,Candidiasis
B374,Candidiasis of other urogenital sites
B375,Candidal meningitis
B376,Candidal endocarditis
B377,Candidal sepsis
B378,Candidiasis of other sites
B379,"Candidiasis, unspecified"
B38,Coccidioidomycosis
B388,Other forms of coccidioidomycosis
B389,"Coccidioidomycosis, unspecified"
B39,Histoplasmosis
B40,Blastomycosis
B408,Other forms of blastomycosis
B409,"Blastomycosis, unspecified"
B41,Paracoccidioidomycosis
B42,Sporotrichosis
B428,Other forms of sporotrichosis
B429,"Sporotrichosis, unspecified"
B43,Chromomycosis and pheomycotic abscess
B44,Aspergillosis
B448,Other forms of aspergillosis
B449,"Aspergillosis, unspecified"
B45,Cryptococcosis
B46,Zygomycosis
B47,Mycetoma
B48,"Other mycoses, not elsewhere classified"
B49,Unspecified mycosis
B50,Plasmodium falciparum malaria
B51,Plasmodium vivax malaria
B52,Plasmodium malariae malaria
B53,Other specified malaria
B54,Unspecified malaria
B55,Leishmaniasis
B56,African trypanosomiasis
B57,Chagas' disease
B573,Chagas' disease (chronic) with digestive system involvement
B574,Chagas' disease (chronic) with nervous system involvement
B575,Chagas' disease (chronic) with other organ involvement
B580,Toxoplasma oculopathy
B581,Toxoplasma hepatitis
B582,Toxoplasma meningoencephalitis
B583,Pulmonary toxoplasmosis
B588,Toxoplasmosis with other organ involvement
B589,"Toxoplasmosis, unspecified"
B59,Pneumocystosis
B60,"Other protozoal diseases, not elsewhere classified"
B601,Acanthamebiasis
B602,Naegleriasis
B608,Other specified protozoal diseases
B64,Unspecified protozoal disease
B65,Schistosomiasis [bilharziasis]
B66,Other fluke infections
B67,Echinococcosis
B673,"Echinococcus granulosus infection, other and multiple sites"
B674,"Echinococcus granulosus infection, unspecified"
B675,Echinococcus multilocularis infection of liver
B676,"Echinococcus multilocularis infection, other and multiple sites"
B677,"Echinococcus multilocularis infection, unspecified"
B678,"Echinococcosis, unspecified, of liver"
B679,"Echinococcosis, other and unspecified"
B68,Taeniasis
B69,Cysticercosis
B698,Cysticercosis of other sites
B699,"Cysticercosis, unspecified"
B70,Diphyllobothriasis and sparganosis
B71,Other cestode infections
B72,Dracunculiasis
B730,Onchocerciasis with eye disease
B731,Onchocerciasis without eye disease
B74,Filariasis
B75,Trichinellosis
B76,Hookworm diseases
B77,Ascariasis
B778,Ascariasis with other complications
B779,"Ascariasis, unspecified"
B78,Strongyloidiasis
B79,Trichuriasis
B80,Enterobiasis
B81,"Other intestinal helminthiases, not elsewhere classified"
B82,Unspecified intestinal parasitism
B83,Other helminthiases
B85,Pediculosis and phthiriasis
B86,Scabies
B87,Myiasis
B878,Myiasis of other sites
B879,"Myiasis, unspecified"
B88,Other infestations
B89,Unspecified parasitic disease
B90,Sequelae of tuberculosis
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy
B94,Sequelae of other and unspecified infectious and parasitic diseases
B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
B956,Staphylococcus aureus as the cause of diseases classified elsewhere
B957,Other staphylococcus as the cause of diseases classified elsewhere
B958,Unspecified staphylococcus as the cause of diseases classified elsewhere
B96,Other bacterial agents as the cause of diseases classified elsewhere
B962,Escherichia coli [E. coli ] as the cause of diseases classified elsewhere
B963,Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere
B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B968,Other specified bacterial agents as the cause of diseases classified elsewhere
B97,Viral agents as the cause of diseases classified elsewhere
B971,Enterovirus as the cause of diseases classified elsewhere
B972,Coronavirus as the cause of diseases classified elsewhere
B973,Retrovirus as the cause of diseases classified elsewhere
B974,Respiratory syncytial virus as the cause of diseases classified elsewhere
B975,Reovirus as the cause of diseases classified elsewhere
B976,Parvovirus as the cause of diseases classified elsewhere
B977,Papillomavirus as the cause of diseases classified elsewhere
B978,Other viral agents as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
C00,Malignant neoplasm of lip
C01,Malignant neoplasm of base of tongue
C02,Malignant neoplasm of other and unspecified parts of tongue
C03,Malignant neoplasm of gum
C04,Malignant neoplasm of floor of mouth
C05,Malignant neoplasm of palate
C06,Malignant neoplasm of other and unspecified parts of mouth
C068,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth
C069,"Malignant neoplasm of mouth, unspecified"
C07,Malignant neoplasm of parotid gland
C08,Malignant neoplasm of other and unspecified major salivary glands
C09,Malignant neoplasm of tonsil
C10,Malignant neoplasm of oropharynx
C11,Malignant neoplasm of nasopharynx
C12,Malignant neoplasm of pyriform sinus
C13,Malignant neoplasm of hypopharynx
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
C15,Malignant neoplasm of esophagus
C16,Malignant neoplasm of stomach
C17,Malignant neoplasm of small intestine
C18,Malignant neoplasm of colon
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C21,Malignant neoplasm of anus and anal canal
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C23,Malignant neoplasm of gallbladder
C24,Malignant neoplasm of other and unspecified parts of biliary tract
C25,Malignant neoplasm of pancreas
C26,Malignant neoplasm of other and ill-defined digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear
C31,Malignant neoplasm of accessory sinuses
C32,Malignant neoplasm of larynx
C33,Malignant neoplasm of trachea
C340,Malignant neoplasm of main bronchus
C341,"Malignant neoplasm of upper lobe, bronchus or lung"
C342,"Malignant neoplasm of middle lobe, bronchus or lung"
C343,"Malignant neoplasm of lower lobe, bronchus or lung"
C348,Malignant neoplasm of overlapping sites of bronchus and lung
C349,Malignant neoplasm of unspecified part of bronchus or lung
C37,Malignant neoplasm of thymus
C38,"Malignant neoplasm of heart, mediastinum and pleura"
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C400,Malignant neoplasm of scapula and long bones of upper limb
C401,Malignant neoplasm of short bones of upper limb
C402,Malignant neoplasm of long bones of lower limb
C403,Malignant neoplasm of short bones of lower limb
C408,Malignant neoplasm of overlapping sites of bone and articular cartilage of limb
C409,Malignant neoplasm of unspecified bones and articular cartilage of limb
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43,Malignant melanoma of skin
C431,"Malignant melanoma of eyelid, including canthus"
C432,Malignant melanoma of ear and external auricular canal
C433,Malignant melanoma of other and unspecified parts of face
C434,Malignant melanoma of scalp and neck
C435,Malignant melanoma of trunk
C436,"Malignant melanoma of upper limb, including shoulder"
C437,"Malignant melanoma of lower limb, including hip"
C438,Malignant melanoma of overlapping sites of skin
C439,"Malignant melanoma of skin, unspecified"
C4A,Merkel cell carcinoma
C4A1,"Merkel cell carcinoma of eyelid, including canthus"
C4A2,Merkel cell carcinoma of ear and external auricular canal
C4A3,Merkel cell carcinoma of other and unspecified parts of face
C4A4,Merkel cell carcinoma of scalp and neck
C4A5,Merkel cell carcinoma of trunk
C4A6,"Merkel cell carcinoma of upper limb, including shoulder"
C4A7,"Merkel cell carcinoma of lower limb, including hip"
C4A8,Merkel cell carcinoma of overlapping sites
C4A9,"Merkel cell carcinoma, unspecified"
C440,Other and unspecified malignant neoplasm of skin of lip
C444,Other and unspecified malignant neoplasm of skin of scalp and neck
C448,Other and unspecified malignant neoplasm of overlapping sites of skin
C449,"Other and unspecified malignant neoplasm of skin, unspecified"
C45,Mesothelioma
C46,Kaposi's sarcoma
C465,Kaposi's sarcoma of lung
C467,Kaposi's sarcoma of other sites
C469,"Kaposi's sarcoma, unspecified"
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
C471,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder"
C472,"Malignant neoplasm of peripheral nerves of lower limb, including hip"
C473,Malignant neoplasm of peripheral nerves of thorax
C474,Malignant neoplasm of peripheral nerves of abdomen
C475,Malignant neoplasm of peripheral nerves of pelvis
C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified"
C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
C48,Malignant neoplasm of retroperitoneum and peritoneum
C49,Malignant neoplasm of other connective and soft tissue
C491,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder"
C492,"Malignant neoplasm of connective and soft tissue of lower limb, including hip"
C493,Malignant neoplasm of connective and soft tissue of thorax
C494,Malignant neoplasm of connective and soft tissue of abdomen
C495,Malignant neoplasm of connective and soft tissue of pelvis
C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified"
C498,Malignant neoplasm of overlapping sites of connective and soft tissue
C499,"Malignant neoplasm of connective and soft tissue, unspecified"
C49A,Gastrointestinal stromal tumor
C51,Malignant neoplasm of vulva
C52,Malignant neoplasm of vagina
C53,Malignant neoplasm of cervix uteri
C54,Malignant neoplasm of corpus uteri
C55,"Malignant neoplasm of uterus, part unspecified"
C56,Malignant neoplasm of ovary
C570,Malignant neoplasm of fallopian tube
C571,Malignant neoplasm of broad ligament
C572,Malignant neoplasm of round ligament
C573,Malignant neoplasm of parametrium
C574,"Malignant neoplasm of uterine adnexa, unspecified"
C577,Malignant neoplasm of other specified female genital organs
C578,Malignant neoplasm of overlapping sites of female genital organs
C579,"Malignant neoplasm of female genital organ, unspecified"
C58,Malignant neoplasm of placenta
C60,Malignant neoplasm of penis
C61,Malignant neoplasm of prostate
C620,Malignant neoplasm of undescended testis
C621,Malignant neoplasm of descended testis
C629,"Malignant neoplasm of testis, unspecified whether descended or undescended"
C630,Malignant neoplasm of epididymis
C631,Malignant neoplasm of spermatic cord
C632,Malignant neoplasm of scrotum
C637,Malignant neoplasm of other specified male genital organs
C638,Malignant neoplasm of overlapping sites of male genital organs
C639,"Malignant neoplasm of male genital organ, unspecified"
C64,"Malignant neoplasm of kidney, except renal pelvis"
C65,Malignant neoplasm of renal pelvis
C66,Malignant neoplasm of ureter
C67,Malignant neoplasm of bladder
C68,Malignant neoplasm of other and unspecified urinary organs
C690,Malignant neoplasm of conjunctiva
C691,Malignant neoplasm of cornea
C692,Malignant neoplasm of retina
C693,Malignant neoplasm of choroid
C694,Malignant neoplasm of ciliary body
C695,Malignant neoplasm of lacrimal gland and duct
C696,Malignant neoplasm of orbit
C698,Malignant neoplasm of overlapping sites of eye and adnexa
C699,Malignant neoplasm of unspecified site of eye
C70,Malignant neoplasm of meninges
C71,Malignant neoplasm of brain
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C722,Malignant neoplasm of olfactory nerve
C723,Malignant neoplasm of optic nerve
C724,Malignant neoplasm of acoustic nerve
C725,Malignant neoplasm of other and unspecified cranial nerves
C729,"Malignant neoplasm of central nervous system, unspecified"
C73,Malignant neoplasm of thyroid gland
C740,Malignant neoplasm of cortex of adrenal gland
C741,Malignant neoplasm of medulla of adrenal gland
C749,Malignant neoplasm of unspecified part of adrenal gland
C75,Malignant neoplasm of other endocrine glands and related structures
C7A0,Malignant carcinoid tumors
C7A1,Malignant poorly differentiated neuroendocrine tumors
C7A8,Other malignant neuroendocrine tumors
C7B0,Secondary carcinoid tumors
C7B1,Secondary Merkel cell carcinoma
C7B8,Other secondary neuroendocrine tumors
C76,Malignant neoplasm of other and ill-defined sites
C764,Malignant neoplasm of upper limb
C765,Malignant neoplasm of lower limb
C768,Malignant neoplasm of other specified ill-defined sites
C77,Secondary and unspecified malignant neoplasm of lymph nodes
C780,Secondary malignant neoplasm of lung
C781,Secondary malignant neoplasm of mediastinum
C782,Secondary malignant neoplasm of pleura
C783,Secondary malignant neoplasm of other and unspecified respiratory organs
C784,Secondary malignant neoplasm of small intestine
C785,Secondary malignant neoplasm of large intestine and rectum
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct
C788,Secondary malignant neoplasm of other and unspecified digestive organs
C790,Secondary malignant neoplasm of kidney and renal pelvis
C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs
C792,Secondary malignant neoplasm of skin
C793,Secondary malignant neoplasm of brain and cerebral meninges
C794,Secondary malignant neoplasm of other and unspecified parts of nervous system
C795,Secondary malignant neoplasm of bone and bone marrow
C796,Secondary malignant neoplasm of ovary
C797,Secondary malignant neoplasm of adrenal gland
C798,Secondary malignant neoplasm of other specified sites
C799,Secondary malignant neoplasm of unspecified site
C80,Malignant neoplasm without specification of site
C810,Nodular lymphocyte predominant Hodgkin lymphoma
C811,Nodular sclerosis Hodgkin lymphoma
C812,Mixed cellularity Hodgkin lymphoma
C813,Lymphocyte depleted Hodgkin lymphoma
C814,Lymphocyte-rich Hodgkin lymphoma
C817,Other Hodgkin lymphoma
C819,"Hodgkin lymphoma, unspecified"
C820,Follicular lymphoma grade I
C821,Follicular lymphoma grade II
C822,"Follicular lymphoma grade III, unspecified"
C823,Follicular lymphoma grade IIIa
C824,Follicular lymphoma grade IIIb
C825,Diffuse follicle center lymphoma
C826,Cutaneous follicle center lymphoma
C828,Other types of follicular lymphoma
C829,"Follicular lymphoma, unspecified"
C830,Small cell B-cell lymphoma
C831,Mantle cell lymphoma
C833,Diffuse large B-cell lymphoma
C835,Lymphoblastic (diffuse) lymphoma
C837,Burkitt lymphoma
C838,Other non-follicular lymphoma
C839,"Non-follicular (diffuse) lymphoma, unspecified"
C840,Mycosis fungoides
C841,Sezary disease
C844,"Peripheral T-cell lymphoma, not classified"
C846,"Anaplastic large cell lymphoma, ALK-positive"
C847,"Anaplastic large cell lymphoma, ALK-negative"
C84A,"Cutaneous T-cell lymphoma, unspecified"
C84Z,Other mature T/NK-cell lymphomas
C849,"Mature T/NK-cell lymphomas, unspecified"
C851,Unspecified B-cell lymphoma
C852,Mediastinal (thymic) large B-cell lymphoma
C858,Other specified types of non-Hodgkin lymphoma
C859,"Non-Hodgkin lymphoma, unspecified"
C86,Other specified types of T/NK-cell lymphoma
C88,Malignant immunoproliferative diseases and certain other B-cell lymphomas
C900,Multiple myeloma
C901,Plasma cell leukemia
C902,Extramedullary plasmacytoma
C903,Solitary plasmacytoma
C910,Acute lymphoblastic leukemia [ALL]
C911,Chronic lymphocytic leukemia of B-cell type
C913,Prolymphocytic leukemia of B-cell type
C914,Hairy cell leukemia
C915,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
C916,Prolymphocytic leukemia of T-cell type
C91A,Mature B-cell leukemia Burkitt-type
C91Z,Other lymphoid leukemia
C919,"Lymphoid leukemia, unspecified"
C920,Acute myeloblastic leukemia
C921,"Chronic myeloid leukemia, BCR/ABL-positive"
C922,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
C923,Myeloid sarcoma
C924,Acute promyelocytic leukemia
C925,Acute myelomonocytic leukemia
C926,Acute myeloid leukemia with 11q23-abnormality
C92A,Acute myeloid leukemia with multilineage dysplasia
C92Z,Other myeloid leukemia
C929,"Myeloid leukemia, unspecified"
C930,Acute monoblastic/monocytic leukemia
C931,Chronic myelomonocytic leukemia
C933,Juvenile myelomonocytic leukemia
C93Z,Other monocytic leukemia
C939,"Monocytic leukemia, unspecified"
C940,Acute erythroid leukemia
C942,Acute megakaryoblastic leukemia
C943,Mast cell leukemia
C944,Acute panmyelosis with myelofibrosis
C946,"Myelodysplastic disease, not classified"
C948,Other specified leukemias
C950,Acute leukemia of unspecified cell type
C951,Chronic leukemia of unspecified cell type
C959,"Leukemia, unspecified"
C96,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C962,Malignant mast cell neoplasm
C964,Sarcoma of dendritic cells (accessory cells)
C965,Multifocal and unisystemic Langerhans-cell histiocytosis
C966,Unifocal Langerhans-cell histiocytosis
C96A,Histiocytic sarcoma
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
D000,"Carcinoma in situ of lip, oral cavity and pharynx"
D001,Carcinoma in situ of esophagus
D002,Carcinoma in situ of stomach
D01,Carcinoma in situ of other and unspecified digestive organs
D014,Carcinoma in situ of other and unspecified parts of intestine
D015,"Carcinoma in situ of liver, gallbladder and bile ducts"
D017,Carcinoma in situ of other specified digestive organs
D019,"Carcinoma in situ of digestive organ, unspecified"
D02,Carcinoma in situ of middle ear and respiratory system
D022,Carcinoma in situ of bronchus and lung
D023,Carcinoma in situ of other parts of respiratory system
D024,"Carcinoma in situ of respiratory system, unspecified"
D03,Melanoma in situ
D031,"Melanoma in situ of eyelid, including canthus"
D032,Melanoma in situ of ear and external auricular canal
D033,Melanoma in situ of other and unspecified parts of face
D034,Melanoma in situ of scalp and neck
D035,Melanoma in situ of trunk
D036,"Melanoma in situ of upper limb, including shoulder"
D037,"Melanoma in situ of lower limb, including hip"
D038,Melanoma in situ of other sites
D039,"Melanoma in situ, unspecified"
D04,Carcinoma in situ of skin
D041,"Carcinoma in situ of skin of eyelid, including canthus"
D042,Carcinoma in situ of skin of ear and external auricular canal
D043,Carcinoma in situ of skin of other and unspecified parts of face
D044,Carcinoma in situ of skin of scalp and neck
D045,Carcinoma in situ of skin of trunk
D046,"Carcinoma in situ of skin of upper limb, including shoulder"
D047,"Carcinoma in situ of skin of lower limb, including hip"
D048,Carcinoma in situ of skin of other sites
D049,"Carcinoma in situ of skin, unspecified"
D050,Lobular carcinoma in situ of breast
D051,Intraductal carcinoma in situ of breast
D058,Other specified type of carcinoma in situ of breast
D059,Unspecified type of carcinoma in situ of breast
D06,Carcinoma in situ of cervix uteri
D07,Carcinoma in situ of other and unspecified genital organs
D073,Carcinoma in situ of other and unspecified female genital organs
D074,Carcinoma in situ of penis
D075,Carcinoma in situ of prostate
D076,Carcinoma in situ of other and unspecified male genital organs
D09,Carcinoma in situ of other and unspecified sites
D091,Carcinoma in situ of other and unspecified urinary organs
D092,Carcinoma in situ of eye
D093,Carcinoma in situ of thyroid and other endocrine glands
D098,Carcinoma in situ of other specified sites
D099,"Carcinoma in situ, unspecified"
D10,Benign neoplasm of mouth and pharynx
D103,Benign neoplasm of other and unspecified parts of mouth
D104,Benign neoplasm of tonsil
D105,Benign neoplasm of other parts of oropharynx
D106,Benign neoplasm of nasopharynx
D107,Benign neoplasm of hypopharynx
D109,"Benign neoplasm of pharynx, unspecified"
D11,Benign neoplasm of major salivary glands
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,Benign neoplasm of other and ill-defined parts of digestive system
D133,Benign neoplasm of other and unspecified parts of small intestine
D134,Benign neoplasm of liver
D135,Benign neoplasm of extrahepatic bile ducts
D136,Benign neoplasm of pancreas
D137,Benign neoplasm of endocrine pancreas
